id,clustering_coefficient_std,clustering_coefficient_max,weight_ratio,inside_weights_25,outside_weight_ratio,inside_weights,inside_weights_75,clustering_coefficient_25,size,degree_max,pageranks_50,inside_edges,pageranks_mean,pageranks_75,clustering_coefficient_50,subgraph_clustering_coeff,clustering_coeff_mean,degree_50,degree_75,inside_weight_ratio,inside_weights_50,degree_std,clustering_coefficient_75,outside_edges,pageranks_std,degree_mean,density,pageranks_max,cohesion,degree_25,pageranks_25,unlinked,outside_weights,inside_weights_mean,inside_weights_std
337,1.50E-05,4.78E-05,2.720930233,8,0.26875,117,18.5,3.18E-06,8,4.78E-05,2.46E-05,8,3.40E-05,3.46E-05,7.96E-06,0.516666667,1.39E-05,7.96E-06,1.43E-05,0.73125,10.5,1.50E-05,1.43E-05,5,2.53E-05,1.39E-05,0.285714286,9.66E-05,1.6,3.18E-06,1.78E-05,0.857142857,43,14.625,8.999131903
338,1.32E-05,4.14E-05,1,9.5,0.5,91,12.75,3.18E-06,7,4.14E-05,2.05E-05,6,3.85E-05,3.19E-05,3.18E-06,0,9.55E-06,3.18E-06,6.37E-06,0.5,11.5,1.32E-05,6.37E-06,9,3.82E-05,9.55E-06,0.285714286,0.000130055,0.666666667,3.18E-06,1.92E-05,0.857142857,91,15.16666667,10.83846033
339,2.86E-05,0.000108284,0.291079812,8,0.774545455,124,12.25,1.27E-05,9,0.000108284,2.61E-05,12,3.00E-05,3.18E-05,1.91E-05,0.328571429,3.01E-05,1.91E-05,2.87E-05,0.225454545,9.5,2.86E-05,2.87E-05,42,1.39E-05,3.01E-05,0.333333333,6.66E-05,0.285714286,1.27E-05,2.14E-05,0.833333333,426,10.33333333,3.496029494
340,2.61E-05,7.64E-05,0.672463768,6,0.597920277,232,32.25,7.96E-06,7,7.64E-05,3.35E-05,8,3.82E-05,5.41E-05,2.87E-05,0.541666667,3.05E-05,2.87E-05,4.46E-05,0.402079723,15,2.61E-05,4.46E-05,25,2.55E-05,3.05E-05,0.380952381,8.21E-05,0.32,7.96E-06,1.50E-05,0.80952381,345,29,33.01136168
341,2.42E-05,6.37E-05,0.938679245,15.75,0.515815085,199,30.5,6.37E-06,6,6.37E-05,3.45E-05,8,4.43E-05,5.80E-05,2.07E-05,0.825,2.81E-05,2.07E-05,4.94E-05,0.484184915,20.5,2.42E-05,4.94E-05,14,2.83E-05,2.81E-05,0.533333333,9.70E-05,0.571428571,6.37E-06,2.11E-05,0.733333333,212,24.875,12.14945986
342,2.14E-05,7.33E-05,0.804216867,17.25,0.554257095,267,37.25,2.87E-05,5,7.33E-05,5.15E-05,6,5.30E-05,5.49E-05,5.73E-05,0.666666667,4.90E-05,5.73E-05,6.69E-05,0.445742905,28,2.14E-05,6.69E-05,28,1.96E-05,4.90E-05,0.6,8.61E-05,0.214285714,2.87E-05,4.81E-05,0.7,332,44.5,46.40671647
343,8.90E-06,2.55E-05,1.603773585,10.5,0.384057971,85,17.25,3.18E-06,6,2.55E-05,3.06E-05,6,4.41E-05,3.60E-05,4.78E-06,0.7,1.01E-05,4.78E-06,1.59E-05,0.615942029,15,8.90E-06,1.59E-05,6,3.03E-05,1.01E-05,0.4,0.000111327,1,3.18E-06,2.90E-05,0.8,53,14.16666667,3.933474574
344,2.97E-05,8.28E-05,0.287058824,8,0.776965265,122,18,9.55E-06,6,8.28E-05,2.90E-05,8,4.40E-05,5.75E-05,1.27E-05,0.7,2.97E-05,1.27E-05,4.70E-05,0.223034735,9,2.97E-05,4.70E-05,27,2.97E-05,2.97E-05,0.533333333,9.97E-05,0.296296296,9.55E-06,2.57E-05,0.733333333,425,15.25,10.52081271
345,6.19E-05,0.00017198,0.494897959,8.5,0.66894198,291,70.25,1.27E-05,5,0.00017198,2.91E-05,6,5.27E-05,4.96E-05,1.91E-05,0.866666667,4.90E-05,1.91E-05,3.18E-05,0.33105802,12,6.19E-05,3.18E-05,52,4.84E-05,4.90E-05,0.6,0.000146836,0.115384615,1.27E-05,2.07E-05,0.7,588,48.5,59.30078695
346,2.88E-05,9.55E-05,0.867132867,17.75,0.535580524,248,42.5,2.63E-05,6,9.55E-05,3.52E-05,6,4.37E-05,4.50E-05,3.98E-05,0.5,4.25E-05,3.98E-05,5.10E-05,0.464419476,21.5,2.88E-05,5.10E-05,24,2.72E-05,4.25E-05,0.4,0.000100461,0.25,2.63E-05,3.06E-05,0.8,286,41.33333333,40.5654478
347,1.18E-05,3.82E-05,1.709219858,11.5,0.369109948,241,39,1.51E-05,6,3.82E-05,4.30E-05,7,4.37E-05,5.84E-05,2.87E-05,0.533333333,2.60E-05,2.87E-05,3.74E-05,0.630890052,21,1.18E-05,3.74E-05,18,1.98E-05,2.60E-05,0.466666667,7.34E-05,0.388888889,1.51E-05,2.48E-05,0.766666667,141,34.42857143,33.30318364
348,9.60E-05,0.000238861,1.027906977,41,0.493119266,221,107.5,7.96E-06,4,0.000238861,3.52E-05,3,6.54E-05,7.94E-05,3.03E-05,0,7.56E-05,3.03E-05,9.79E-05,0.506880734,76,9.60E-05,9.79E-05,14,6.62E-05,7.56E-05,0.5,0.000178218,0.214285714,7.96E-06,2.13E-05,0.75,215,73.66666667,54.32208473
349,2.54E-05,7.96E-05,1.09929078,9.5,0.476351351,155,28,3.18E-06,7,7.96E-05,2.84E-05,7,3.71E-05,4.49E-05,2.23E-05,0.477777778,2.41E-05,2.23E-05,2.87E-05,0.523648649,13,2.54E-05,2.87E-05,14,2.10E-05,2.41E-05,0.333333333,7.88E-05,0.5,3.18E-06,2.44E-05,0.833333333,141,22.14285714,17.34876341
350,6.39E-05,0.000149686,0.835380835,92.5,0.544846051,340,247.5,6.37E-05,3,0.000149686,0.000106186,2,8.66E-05,0.000122864,0.000124208,0,9.24E-05,0.000124208,0.000136947,0.455153949,170,6.39E-05,0.000136947,30,5.30E-05,9.24E-05,0.666666667,0.000139542,0.066666667,6.37E-05,6.02E-05,0.666666667,407,170,155
351,5.16E-05,0.000149686,0.342465753,9.25,0.744897959,100,17.5,7.17E-06,6,0.000149686,2.67E-05,6,4.33E-05,3.57E-05,1.43E-05,0.5,3.56E-05,1.43E-05,2.39E-05,0.255102041,13,5.16E-05,2.39E-05,25,4.10E-05,3.56E-05,0.4,0.000133468,0.24,7.17E-06,1.88E-05,0.8,292,16.66666667,11.13053857
352,5.47E-05,0.000159241,0.515267176,37,0.659949622,270,101.5,2.87E-05,5,0.000159241,3.75E-05,4,5.19E-05,4.11E-05,2.87E-05,0,5.35E-05,2.87E-05,4.78E-05,0.340050378,71,5.47E-05,4.78E-05,49,4.26E-05,5.35E-05,0.4,0.000135239,0.081632653,2.87E-05,3.05E-05,0.8,524,67.5,37.63973964
353,2.80E-05,7.01E-05,0.493902439,7.5,0.669387755,81,11.5,3.18E-06,7,7.01E-05,1.76E-05,7,3.70E-05,6.18E-05,9.55E-06,0.277777778,2.68E-05,9.55E-06,4.94E-05,0.330612245,9,2.80E-05,4.94E-05,21,2.37E-05,2.68E-05,0.333333333,6.87E-05,0.333333333,3.18E-06,1.67E-05,0.833333333,164,11.57142857,6.986868149
