C0000052,C0017772,20
C0000084,C0005931,19
C0000084,C0006675,9
C0000084,C0006732,17
C0000084,C0017789,95
C0000084,C0033684,20
C0000084,C0033706,6
C0000084,C0042878,10
C0000096,C0000359,6
C0000096,C0001455,29
C0000096,C0001527,8
C0000096,C0006104,6
C0000096,C0012054,8
C0000096,C0018338,6
C0000096,C0021641,7
C0000096,C0022131,8
C0000096,C0022245,8
C0000096,C0039771,91
C0000102,C0000300,10
C0000102,C0027378,20
C0000103,C0023884,9
C0000103,C0039887,16
C0000107,C0003009,27
C0000107,C0005823,7
C0000107,C0006938,6
C0000107,C0020538,6
C0000107,C0033382,6
C0000119,C0001613,6
C0000139,C0001962,6
C0000139,C0004057,8
C0000139,C0005367,6
C0000139,C0017136,33
C0000139,C0033560,101
C0000139,C0392535,12
C0000163,C0000167,16
C0000163,C0001655,10
C0000163,C0010139,48
C0000163,C0011777,9
C0000163,C0020268,23
C0000163,C0020387,7
C0000163,C0025876,10
C0000163,C0033308,7
C0000165,C0000324,9
C0000165,C0000413,15
C0000165,C0014180,12
C0000165,C0014912,11
C0000165,C0014917,37
C0000165,C0014942,7
C0000165,C0023884,9
C0000165,C0029939,9
C0000165,C0030016,15
C0000165,C0032043,26
C0000165,C0033308,7
C0000165,C0034804,8
C0000165,C0036875,9
C0000165,C0039597,22
C0000165,C0039601,8
C0000165,C0039602,9
C0000165,C0042138,7
C0000165,C0042149,7
C0000167,C0014654,10
C0000167,C0014938,8
C0000167,C0014939,9
C0000167,C0019572,6
C0000167,C0039601,8
C0000172,C0002006,29
C0000172,C0010124,47
C0000172,C0011710,7
C0000173,C0001613,7
C0000173,C0010124,11
C0000173,C0011710,26
C0000176,C0001625,12
C0000176,C0008377,26
C0000176,C0021970,13
C0000184,C0006104,35
C0000184,C0006106,6
C0000184,C0006732,10
C0000184,C0006772,16
C0000184,C0026972,10
C0000184,C0026973,13
C0000184,C0027836,12
C0000184,C0028944,8
C0000184,C0031638,11
C0000184,C0031640,113
C0000184,C0037925,6
C0000189,C0021743,17
C0000189,C0021747,17
C0000189,C0024264,7
C0000194,C0012771,12
C0000194,C0034255,35
C0000215,C0000220,50
C0000215,C0000771,14
C0000215,C0008257,6
C0000215,C0012503,43
C0000215,C0019236,9
C0000215,C0028797,10
C0000215,C0042610,7
C0000215,C4277576,40
C0000220,C0000771,8
C0000220,C0012503,34
C0000220,C0017948,13
C0000220,C0019236,22
C0000220,C0024994,13
C0000220,C0031251,6
C0000220,C0032098,8
C0000220,C0042610,7
C0000220,C4277576,34
C0000232,C0021250,11
C0000248,C0001011,62
C0000248,C0001390,6
C0000248,C0005082,8
C0000248,C0005695,6
C0000248,C0007090,32
C0000248,C0007621,9
C0000248,C0008546,8
C0000248,C0010762,13
C0000248,C0011503,10
C0000248,C0012200,8
C0000248,C0012854,66
C0000248,C0012892,6
C0000248,C0012899,17
C0000248,C0012939,7
C0000248,C0016311,21
C0000248,C0020319,46
C0000248,C0023884,93
C0000248,C0023903,35
C0000248,C0023904,32
C0000248,C0024668,7
C0000248,C0025732,11
C0000248,C0026030,46
C0000248,C0026879,37
C0000248,C0026882,14
C0000248,C0028197,10
C0000248,C0028599,9
C0000248,C0031412,11
C0000248,C0032468,11
C0000248,C0032927,11
C0000248,C0598312,9
C0000254,C0002520,11
C0000257,C0002524,48
C0000257,C0035298,17
C0000263,C0001407,22
C0000263,C0012892,6
C0000263,C0026882,6
C0000289,C0028403,12
C0000289,C0031399,30
C0000291,C0022621,6
C0000294,C0005682,7
C0000294,C0030016,7
C0000300,C0007090,7
C0000300,C0027378,46
C0000324,C0010092,6
C0000324,C0010138,13
C0000324,C0014917,8
C0000324,C0029939,9
C0000324,C0032043,11
C0000340,C0010762,7
C0000340,C0022646,20
C0000340,C0038311,35
C0000359,C0000360,118
C0000359,C0001443,9
C0000359,C0001455,61
C0000359,C0001492,53
C0000359,C0001527,36
C0000359,C0005821,11
C0000359,C0006104,48
C0000359,C0006675,28
C0000359,C0006732,63
C0000359,C0006772,86
C0000359,C0007776,9
C0000359,C0011853,7
C0000359,C0012120,19
C0000359,C0013139,9
